product_id,price,price_percentage_change_24h,volume_24h,volume_percentage_change_24h,base_increment,quote_increment,quote_min_size,quote_max_size,base_min_size,base_max_size,base_name,quote_name,watched,is_disabled,new,status,cancel_only,limit_only,post_only,trading_disabled,auction_mode,product_type,quote_currency_id,base_currency_id,fcm_trading_session_details,mid_market_price,alias,alias_to,base_display_symbol,quote_display_symbol,view_only,price_increment,display_name,product_venue,approximate_quote_24h_volume,new_at,market_cap,base_cbrn,quote_cbrn,product_cbrn,icon_color,icon_url,display_name_overwrite,is_alpha_testing,about_description
ICP-GBP,1.887,0.31897926634769,20649.0534,47.83357998331201,0.0001,0.001,1,10000000,0.0001,17000,Internet Computer,British Pound,False,False,False,online,False,False,False,False,False,SPOT,GBP,ICP,,,,[],ICP,GBP,False,0.001,ICP-GBP,CBE,38964.764,2023-01-01T00:00:00Z,,,,,,,,False,
C98-USD,0.0307,2.67558528428094,1246819.03,-64.64410527690471,0.01,0.0001,1,10000000,0.01,45112800,Coin98,US Dollar,False,False,False,online,False,False,False,False,False,SPOT,USD,C98,,,,['C98-USDC'],C98,USD,False,0.0001,C98-USD,CBE,38277.34,2023-01-01T00:00:00Z,,,,,,,,False,
C98-USDC,0.0307,2.67558528428094,1246819.03,-64.64410527690471,0.01,0.0001,1,10000000,0.01,45112800,Coin98,USDC,False,False,False,online,False,False,False,False,False,SPOT,USDC,C98,,,C98-USD,[],C98,USD,False,0.0001,C98-USDC,CBE,38277.34,2023-01-01T00:00:00Z,,,,,,,,False,
XSGD-USDC,0.7799,-0.06406970784213,47933,36.10369697313874,1,0.0001,1,10000000,1,12878576.66666666717928,XSGD,USDC,False,False,False,online,False,True,False,False,False,SPOT,USDC,XSGD,,,,[],XSGD,USDC,False,0.0001,XSGD-USDC,CBE,37382.95,2025-10-01T18:28:00.029Z,,,,,,,,False,
SKL-USD,0.0064,-1.53846153846154,5833070.6,-74.57711849722281,0.1,0.0001,1,10000000,0.1,257817000,SKALE,US Dollar,False,False,False,online,False,False,False,False,False,SPOT,USD,SKL,,,,['SKL-USDC'],SKL,USD,False,0.0001,SKL-USD,CBE,37331.65,2023-01-01T00:00:00Z,,,,,,,,False,
SKL-USDC,0.0064,-1.53846153846154,5833070.6,-74.57711849722281,0.1,0.0001,1,10000000,0.1,257817000,SKALE,USDC,False,False,False,online,False,False,False,False,False,SPOT,USDC,SKL,,,SKL-USD,[],SKL,USD,False,0.0001,SKL-USDC,CBE,37331.65,2023-01-01T00:00:00Z,,,,,,,,False,
FUN1-USD,0.03174,-2.48847926267281,1132799,-61.36834875463287,0.1,0.00001,1,10000000,0.1,114419342.6077368256415413,Sport.fun,US Dollar,False,False,False,online,False,False,False,False,False,SPOT,USD,FUN1,,,,['FUN1-USDC'],FUN1,USD,False,0.00001,FUN1-USD,CBE,35955.04,2026-01-15T20:06:00.011Z,,,,,,,,False,
FUN1-USDC,0.03174,-2.48847926267281,1132799,-61.36834875463287,0.1,0.00001,1,10000000,0.1,114419342.6077368256415413,Sport.fun,USDC,False,False,False,online,False,False,False,False,False,SPOT,USDC,FUN1,,,FUN1-USD,[],FUN1,USD,False,0.00001,FUN1-USDC,CBE,35955.04,2026-01-15T20:06:00.011Z,,,,,,,,False,
METIS-USD,3.15,-1.25391849529781,11209.994,18.00876886680677,0.001,0.01,1,10000000,0.001,453533.1755068722825352,Metis,US Dollar,False,False,False,online,False,False,False,False,False,SPOT,USD,METIS,,,,['METIS-USDC'],METIS,USD,False,0.01,METIS-USD,CBE,35311.48,2023-01-01T00:00:00Z,,,,,,,,False,
METIS-USDC,3.15,-1.25391849529781,11209.994,18.00876886680677,0.001,0.01,1,10000000,0.001,453533.1755068722825352,Metis,USDC,False,False,False,online,False,False,False,False,False,SPOT,USDC,METIS,,,METIS-USD,[],METIS,USD,False,0.01,METIS-USDC,CBE,35311.48,2023-01-01T00:00:00Z,,,,,,,,False,
